,Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Venezuelans displaced abroad,Stateless persons,Others of concern,name,region,sub-region,alpha-3
556,2019,Afghanistan,AFG,United Kingdom of Great Britain and Northern Ireland,GBR,9513,2890,0,,0,0,Afghanistan,Asia,Southern Asia,AFG
557,2019,Albania,ALB,United Kingdom of Great Britain and Northern Ireland,GBR,3182,6787,0,,0,0,Albania,Europe,Southern Europe,ALB
558,2019,Algeria,DZA,United Kingdom of Great Britain and Northern Ireland,GBR,344,353,0,,0,0,Algeria,Africa,Northern Africa,DZA
559,2019,Angola,AGO,United Kingdom of Great Britain and Northern Ireland,GBR,180,143,0,,0,0,Angola,Africa,Sub-Saharan Africa,AGO
560,2019,Antigua and Barbuda,ATG,United Kingdom of Great Britain and Northern Ireland,GBR,5,9,0,,0,0,Antigua and Barbuda,Americas,Latin America and the Caribbean,ATG
561,2019,Egypt,EGY,United Kingdom of Great Britain and Northern Ireland,GBR,860,510,0,,0,0,Egypt,Africa,Northern Africa,EGY
562,2019,Argentina,ARG,United Kingdom of Great Britain and Northern Ireland,GBR,0,10,0,,0,0,Argentina,Americas,Latin America and the Caribbean,ARG
563,2019,Armenia,ARM,United Kingdom of Great Britain and Northern Ireland,GBR,63,13,0,,0,0,Armenia,Asia,Western Asia,ARM
564,2019,Australia,AUS,United Kingdom of Great Britain and Northern Ireland,GBR,5,0,0,,0,0,Australia,Oceania,Australia and New Zealand,AUS
565,2019,Azerbaijan,AZE,United Kingdom of Great Britain and Northern Ireland,GBR,159,57,0,,0,0,Azerbaijan,Asia,Western Asia,AZE
566,2019,Bahrain,BHR,United Kingdom of Great Britain and Northern Ireland,GBR,177,12,0,,0,0,Bahrain,Asia,Western Asia,BHR
567,2019,Barbados,BRB,United Kingdom of Great Britain and Northern Ireland,GBR,13,5,0,,0,0,Barbados,Americas,Latin America and the Caribbean,BRB
568,2019,Burundi,BDI,United Kingdom of Great Britain and Northern Ireland,GBR,54,12,0,,0,0,Burundi,Africa,Sub-Saharan Africa,BDI
569,2019,Benin,BEN,United Kingdom of Great Britain and Northern Ireland,GBR,9,12,0,,0,0,Benin,Africa,Sub-Saharan Africa,BEN
570,2019,Bangladesh,BGD,United Kingdom of Great Britain and Northern Ireland,GBR,1601,2329,0,,0,0,Bangladesh,Asia,Southern Asia,BGD
571,2019,Bahamas,BHS,United Kingdom of Great Britain and Northern Ireland,GBR,5,0,0,,0,0,Bahamas,Americas,Latin America and the Caribbean,BHS
572,2019,Bhutan,BTN,United Kingdom of Great Britain and Northern Ireland,GBR,64,0,0,,0,0,Bhutan,Asia,Southern Asia,BTN
573,2019,Burkina Faso,BFA,United Kingdom of Great Britain and Northern Ireland,GBR,8,14,0,,0,0,Burkina Faso,Africa,Sub-Saharan Africa,BFA
574,2019,Belarus,BLR,United Kingdom of Great Britain and Northern Ireland,GBR,124,18,0,,0,0,Belarus,Europe,Eastern Europe,BLR
